"Installment Ticket Id","InstallmentTransactionId","InstallmentDate","InstallmentValueDate","InstallmentProducts","InstallmentPaymentPrice","InstallmentProductPrice","InstallmentPaymentExtRef","InstallmentProductExtRef","Installments"
"","3748234","01/07/2025","01/07/2025","Credit card","1640","","70100","",""
"902641","3748234","01/07/2025","","מנוי לעונת 2025/2026","","1640","","4240",""
"","3748244","01/07/2025","01/07/2025","Credit card","1040","","70100","",""
"902652","3748244","01/07/2025","","מנוי לעונת 2025/2026","","1040","","4240",""
"","3748245","01/07/2025","01/07/2025","Credit card","3650","","70100","",""
"902655","3748245","01/07/2025","","מנוי לעונת 2025/2026","","1110","","4240",""
"902654","3748245","01/07/2025","","מנוי לעונת 2025/2026","","1110","","4240",""
"902653","3748245","01/07/2025","","מנוי לעונת 2025/2026","","1430","","4240",""
"","3748252","01/07/2025","01/07/2025","Credit card","2050","","70100","",""
"902659","3748252","01/07/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"","3748315","02/07/2025","02/07/2025","Credit card","1280","","70100","",""
"902774","3748315","02/07/2025","","מנוי לעונת 2025/2026","","1280","","4240",""
"","3748319","02/07/2025","02/07/2025","Credit card","-2100","","70100","",""
"237343","3748319","02/07/2025","","מנוי לעונת 2025/2026","","-2100","","4240",""
"","3748320","02/07/2025","02/07/2025","Credit card","1680","","70100","",""
"902781","3748320","02/07/2025","","מנוי לעונת 2025/2026","","1680","","4240",""
"","3748327","02/07/2025","02/07/2025","Credit card","-2300","","70100","",""
"237353","3748327","02/07/2025","","מנוי לעונת 2025/2026","","-1000","","4240",""
"237351","3748327","02/07/2025","","מנוי לעונת 2025/2026","","-1300","","4240",""
"","3748330","02/07/2025","02/07/2025","Credit card","1320","","70100","",""
"902789","3748330","02/07/2025","","מנוי לעונת 2025/2026","","1320","","4240",""
"","3748334","02/07/2025","02/07/2025","CustomPayment","-2500","","79991","",""
"237349","3748334","02/07/2025","","מנוי לעונת 2025/2026","","-850","","4240",""
"237347","3748334","02/07/2025","","מנוי לעונת 2025/2026","","-1650","","4240",""
"","3748335","02/07/2025","02/07/2025","Credit card","2180","","70100","",""
"902794","3748335","02/07/2025","","מנוי לעונת 2025/2026","","1280","","4240",""
"902793","3748335","02/07/2025","","מנוי לעונת 2025/2026","","900","","4240",""
"","3748336","02/07/2025","02/07/2025","Credit card","2040","","70100","",""
"902795","3748336","02/07/2025","","מנוי לעונת 2025/2026","","1040","","4240",""
"902796","3748336","02/07/2025","","מנוי לעונת 2025/2026","","1000","","4240",""
"","3748349","02/07/2025","02/07/2025","Credit card","1640","","70100","",""
"902813","3748349","02/07/2025","","מנוי לעונת 2025/2026","","1640","","4240",""
"","3748355","02/07/2025","02/07/2025","Credit card","2840","","70100","",""
"902827","3748355","02/07/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"902826","3748355","02/07/2025","","מנוי לעונת 2025/2026","","950","","4240",""
"902828","3748355","02/07/2025","","מנוי לעונת 2025/2026","","1040","","4240",""
"","3748358","02/07/2025","02/07/2025","CustomPayment","1600","","79991","",""
"902831","3748358","02/07/2025","","מנוי לעונת 2025/2026","","1600","","4240",""
"","3748359","02/07/2025","02/07/2025","CustomPayment","-2600","","79991","",""
"237362","3748359","02/07/2025","","גמר ליגת ווינר משחק 2: מכבי תל אביב 🏠","","-1300","","4114",""
"237361","3748359","02/07/2025","","גמר ליגת ווינר משחק 2: מכבי תל אביב 🏠","","-1300","","4114",""
"","3748362","02/07/2025","02/07/2025","Credit card","3360","","70100","",""
"902834","3748362","02/07/2025","","מנוי לעונת 2025/2026","","1680","","4240",""
"902835","3748362","02/07/2025","","מנוי לעונת 2025/2026","","1680","","4240",""
"","3748365","02/07/2025","02/07/2025","Credit card","-1680","","70100","",""
"237367","3748365","02/07/2025","","מנוי לעונת 2025/2026","","-1680","","4240",""
"","3748366","02/07/2025","02/07/2025","Credit card","-1680","","70100","",""
"237369","3748366","02/07/2025","","מנוי לעונת 2025/2026","","-1680","","4240",""
"","3748367","02/07/2025","02/07/2025","Credit card","3360","","70100","",""
"902836","3748367","02/07/2025","","מנוי לעונת 2025/2026","","1680","","4240",""
"902837","3748367","02/07/2025","","מנוי לעונת 2025/2026","","1680","","4240",""
"","3748376","02/07/2025","02/07/2025","Cash","0","","70001","",""
"70183","3748376","02/07/2025","","פרסום: דף העסקים של הפועל 2025/26","","0","","4118",""
"","3748379","02/07/2025","02/07/2025","Credit card","850","","70100","",""
"902846","3748379","02/07/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"","3748382","02/07/2025","02/07/2025","Credit card","3820","","70100","",""
"902852","3748382","02/07/2025","","מנוי לעונת 2025/2026","","640","","4240",""
"902851","3748382","02/07/2025","","מנוי לעונת 2025/2026","","1300","","4240",""
"902853","3748382","02/07/2025","","מנוי לעונת 2025/2026","","840","","4240",""
"902850","3748382","02/07/2025","","מנוי לעונת 2025/2026","","1040","","4240",""
"","3748388","02/07/2025","02/07/2025","Credit card","1640","","70100","",""
"902858","3748388","02/07/2025","","מנוי לעונת 2025/2026","","1640","","4240",""
"","3748390","02/07/2025","02/07/2025","Credit card","1600","","70100","",""
"902862","3748390","02/07/2025","","מנוי לעונת 2025/2026","","1600","","4240",""
"","3754820","02/08/2025","02/08/2025","Other Payment","0","","Other","",""
"910567","3754820","02/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3754827","02/08/2025","02/08/2025","Credit card","2050","","70100","",""
"910583","3754827","02/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"","3754831","02/08/2025","02/08/2025","Credit card","900","","70100","",""
"910588","3754831","02/08/2025","","מנוי לעונת 2025/2026","","900","","4240",""
"","3748446","03/07/2025","03/07/2025","Credit card","1300","","70100","",""
"902906","3748446","03/07/2025","","מנוי לעונת 2025/2026","","1300","","4240",""
"","3748449","03/07/2025","03/07/2025","Cash","0","","70001","",""
"902913","3748449","03/07/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3748450","03/07/2025","03/07/2025","Credit card","680","","70100","",""
"902950","3748450","03/07/2025","","מנוי לעונת 2025/2026","","680","","4240",""
"","3748457","03/07/2025","03/07/2025","Credit card","2790","","70100","",""
"902951","3748457","03/07/2025","","מנוי לעונת 2025/2026","","1395","","4240",""
"902952","3748457","03/07/2025","","מנוי לעונת 2025/2026","","1395","","4240",""
"","3748458","03/07/2025","03/07/2025","Credit card","2550","","70100","",""
"902946","3748458","03/07/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"902948","3748458","03/07/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"902947","3748458","03/07/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"","3748470","03/07/2025","03/07/2025","Credit card","1320","","70100","",""
"902964","3748470","03/07/2025","","מנוי לעונת 2025/2026","","1320","","4240",""
"","3748471","03/07/2025","03/07/2025","CustomPayment","10000","","79991","",""
"902966","3748471","03/07/2025","","מנוי לעונת 2025/2026","","5000","","4240",""
"902967","3748471","03/07/2025","","מנוי לעונת 2025/2026","","5000","","4240",""
"70216","3748471","03/07/2025","","פרסום: דף העסקים של הפועל 2025/26","","0","","4118",""
"","3748472","03/07/2025","03/07/2025","CustomPayment","10000","","79991","",""
"902968","3748472","03/07/2025","","מנוי לעונת 2025/2026","","5000","","4240",""
"902969","3748472","03/07/2025","","מנוי לעונת 2025/2026","","5000","","4240",""
"70217","3748472","03/07/2025","","פרסום: דף העסקים של הפועל 2025/26","","0","","4118",""
"","3748479","03/07/2025","03/07/2025","Credit card","2880","","70100","",""
"902982","3748479","03/07/2025","","מנוי לעונת 2025/2026","","1280","","4240",""
"902981","3748479","03/07/2025","","מנוי לעונת 2025/2026","","1600","","4240",""
"","3748495","03/07/2025","03/07/2025","Credit card","680","","70100","",""
"903052","3748495","03/07/2025","","מנוי לעונת 2025/2026","","680","","4240",""
"","3748496","03/07/2025","03/07/2025","Cash","0","","70001","",""
"903069","3748496","03/07/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"903071","3748496","03/07/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3748500","03/07/2025","03/07/2025","Credit card","3410","","70100","",""
"903066","3748500","03/07/2025","","מנוי לעונת 2025/2026","","1760","","4240",""
"903067","3748500","03/07/2025","","מנוי לעונת 2025/2026","","1650","","4240",""
"","3748507","03/07/2025","03/07/2025","Credit card","680","","70100","",""
"903091","3748507","03/07/2025","","מנוי לעונת 2025/2026","","680","","4240",""
"","3748508","03/07/2025","03/07/2025","Credit card","680","","70100","",""
"903092","3748508","03/07/2025","","מנוי לעונת 2025/2026","","680","","4240",""
"","3748514","03/07/2025","03/07/2025","Credit card","650","","70100","",""
"903101","3748514","03/07/2025","","מנוי לעונת 2025/2026","","650","","4240",""
"","3754995","03/08/2025","03/08/2025","Cash","0","","70001","",""
"238968","3754995","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"910712","3754995","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3754997","03/08/2025","03/08/2025","Cash","0","","70001","",""
"238972","3754997","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"910714","3754997","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3754998","03/08/2025","03/08/2025","Cash","0","","70001","",""
"910715","3754998","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755000","03/08/2025","03/08/2025","Cash","0","","70001","",""
"910716","3755000","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755012","03/08/2025","03/08/2025","Cash","0","","70001","",""
"910739","3755012","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"238993","3755012","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755015","03/08/2025","03/08/2025","Cash","0","","70001","",""
"238995","3755015","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"910742","3755015","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755027","03/08/2025","03/08/2025","Other Payment","0","","Other","",""
"910804","3755027","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"910805","3755027","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755028","03/08/2025","03/08/2025","Other Payment","0","","Other","",""
"910800","3755028","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"910799","3755028","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755035","03/08/2025","03/08/2025","Other Payment","0","","Other","",""
"910814","3755035","03/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3748552","04/07/2025","04/07/2025","Credit card","1280","","70100","",""
"903151","3748552","04/07/2025","","מנוי לעונת 2025/2026","","1280","","4240",""
"","3748554","04/07/2025","04/07/2025","Credit card","1320","","70100","",""
"903154","3748554","04/07/2025","","מנוי לעונת 2025/2026","","1320","","4240",""
"","3748559","04/07/2025","04/07/2025","Credit card","4050","","70100","",""
"903206","3748559","04/07/2025","","מנוי לעונת 2025/2026","","1200","","4240",""
"903204","3748559","04/07/2025","","מנוי לעונת 2025/2026","","1650","","4240",""
"903205","3748559","04/07/2025","","מנוי לעונת 2025/2026","","1200","","4240",""
"","3748574","04/07/2025","04/07/2025","Credit card","850","","70100","",""
"903233","3748574","04/07/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"","3755080","04/08/2025","04/08/2025","Credit card","2150","","70100","",""
"910825","3755080","04/08/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"910824","3755080","04/08/2025","","מנוי לעונת 2025/2026","","1300","","4240",""
"","3755082","04/08/2025","04/08/2025","Credit card","2150","","70100","",""
"910826","3755082","04/08/2025","","מנוי לעונת 2025/2026","","1300","","4240",""
"910827","3755082","04/08/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"","3755088","04/08/2025","04/08/2025","Credit card","1050","","70100","",""
"910828","3755088","04/08/2025","","מנוי לעונת 2025/2026","","1050","","4240",""
"","3755089","04/08/2025","04/08/2025","Credit card","1600","","70100","",""
"910829","3755089","04/08/2025","","מנוי לעונת 2025/2026","","1600","","4240",""
"","3755098","04/08/2025","04/08/2025","Credit card","1300","","70100","",""
"910840","3755098","04/08/2025","","מנוי לעונת 2025/2026","","650","","4240",""
"910841","3755098","04/08/2025","","מנוי לעונת 2025/2026","","650","","4240",""
"","3755099","04/08/2025","04/08/2025","Credit card","850","","70100","",""
"910842","3755099","04/08/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"","3755105","04/08/2025","04/08/2025","Cash","0","","70001","",""
"911184","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911178","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911162","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911160","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911161","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911181","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911173","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911182","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911180","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911170","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911168","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911163","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911174","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911183","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911164","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911169","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911176","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911157","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911159","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911158","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911167","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911171","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911175","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911179","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911165","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911177","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911185","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911172","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911166","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911186","3755105","04/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755107","04/08/2025","04/08/2025","CustomPayment","50000","","79991","",""
"911188","3755107","04/08/2025","","מנוי לעונת 2025/2026","","7500","","4240",""
"911187","3755107","04/08/2025","","מנוי לעונת 2025/2026","","7500","","4240",""
"911190","3755107","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"911189","3755107","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"70812","3755107","04/08/2025","","פרסום: לד עליון 25/26","","7725","","4118",""
"70811","3755107","04/08/2025","","פרסום: לד תחתון 25/26","","7725","","4118",""
"70813","3755107","04/08/2025","","פרסום: מסך לד בסיס סל 25/26","","7725","","4118",""
"70810","3755107","04/08/2025","","פרסום: שקופית ג'מבו 25/26","","7725","","4118",""
"","3755108","04/08/2025","04/08/2025","CustomPayment","145000","","79991","",""
"911196","3755108","04/08/2025","","מנוי חניה 2025-26","","0","","4240",""
"911195","3755108","04/08/2025","","מנוי חניה 2025-26","","5000","","4240",""
"911193","3755108","04/08/2025","","מנוי לעונת 2025/2026","","25000","","4240",""
"911192","3755108","04/08/2025","","מנוי לעונת 2025/2026","","25000","","4240",""
"911194","3755108","04/08/2025","","מנוי לעונת 2025/2026","","25000","","4240",""
"911191","3755108","04/08/2025","","מנוי לעונת 2025/2026","","25000","","4240",""
"70817","3755108","04/08/2025","","פרסום: לד עליון 25/26","","10000","","4118",""
"70816","3755108","04/08/2025","","פרסום: לד תחתון 25/26","","10000","","4118",""
"70818","3755108","04/08/2025","","פרסום: מסך לד בסיס סל 25/26","","10000","","4118",""
"70815","3755108","04/08/2025","","פרסום: שקופית ג'מבו 25/26","","10000","","4118",""
"","3755109","04/08/2025","04/08/2025","CustomPayment","100000","","79991","",""
"911204","3755109","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"911203","3755109","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"911202","3755109","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"911199","3755109","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"911198","3755109","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"911197","3755109","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"911200","3755109","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"911201","3755109","04/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"70821","3755109","04/08/2025","","פרסום: לד עליון 25/26","","20900","","4118",""
"70820","3755109","04/08/2025","","פרסום: לד תחתון 25/26","","20900","","4118",""
"70822","3755109","04/08/2025","","פרסום: מסך לד בסיס סל 25/26","","20900","","4118",""
"70819","3755109","04/08/2025","","פרסום: שקופית ג'מבו 25/26","","20900","","4118",""
"","3755119","04/08/2025","04/08/2025","Cash","0","","70001","",""
"911209","3755119","04/08/2025","","מנוי לעונת 2025/2026","","680","","4240",""
"239059","3755119","04/08/2025","","מנוי לעונת 2025/2026","","-680","","4240",""
"","3755120","04/08/2025","04/08/2025","Cash","0","","70001","",""
"239061","3755120","04/08/2025","","מנוי לעונת 2025/2026","","-680","","4240",""
"911210","3755120","04/08/2025","","מנוי לעונת 2025/2026","","680","","4240",""
"","3755281","05/08/2025","05/08/2025","CustomPayment","200000","","79991","",""
"911332","3755281","05/08/2025","","מנוי חניה 2025-26","","0","","4240",""
"911331","3755281","05/08/2025","","מנוי חניה 2025-26","","0","","4240",""
"911327","3755281","05/08/2025","","מנוי לעונת 2025/2026","","25000","","4240",""
"911328","3755281","05/08/2025","","מנוי לעונת 2025/2026","","25000","","4240",""
"911326","3755281","05/08/2025","","מנוי לעונת 2025/2026","","25000","","4240",""
"911330","3755281","05/08/2025","","מנוי לעונת 2025/2026","","22500","","4240",""
"911329","3755281","05/08/2025","","מנוי לעונת 2025/2026","","22500","","4240",""
"70845","3755281","05/08/2025","","פרסום: לד עליון 25/26","","20000","","4118",""
"70844","3755281","05/08/2025","","פרסום: לד תחתון 25/26","","20000","","4118",""
"70846","3755281","05/08/2025","","פרסום: מסך לד בסיס סל 25/26","","20000","","4118",""
"70843","3755281","05/08/2025","","פרסום: שקופית ג'מבו 25/26","","20000","","4118",""
"","3755285","05/08/2025","05/08/2025","CustomPayment","200000","","79991","",""
"911339","3755285","05/08/2025","","מנוי חניה 2025-26","","5000","","4240",""
"911340","3755285","05/08/2025","","מנוי חניה 2025-26","","5000","","4240",""
"911338","3755285","05/08/2025","","מנוי לעונת 2025/2026","","15000","","4240",""
"911337","3755285","05/08/2025","","מנוי לעונת 2025/2026","","15000","","4240",""
"911335","3755285","05/08/2025","","מנוי לעונת 2025/2026","","15000","","4240",""
"911336","3755285","05/08/2025","","מנוי לעונת 2025/2026","","15000","","4240",""
"70878","3755285","05/08/2025","","פרסום: לד עליון 25/26","","32500","","4118",""
"70877","3755285","05/08/2025","","פרסום: לד תחתון 25/26","","32500","","4118",""
"70879","3755285","05/08/2025","","פרסום: מסך לד בסיס סל 25/26","","32500","","4118",""
"70876","3755285","05/08/2025","","פרסום: שקופית ג'מבו 25/26","","32500","","4118",""
"","3755290","05/08/2025","05/08/2025","Credit card","-1600","","70100","",""
"239094","3755290","05/08/2025","","מנוי לעונת 2025/2026","","-1600","","4240",""
"","3755291","05/08/2025","05/08/2025","Credit card","-1600","","70100","",""
"239096","3755291","05/08/2025","","מנוי לעונת 2025/2026","","-1600","","4240",""
"","3755292","05/08/2025","05/08/2025","Cash","0","","70001","",""
"911351","3755292","05/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911352","3755292","05/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755294","05/08/2025","05/08/2025","Credit card","2350","","70100","",""
"911380","3755294","05/08/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"911381","3755294","05/08/2025","","מנוי לעונת 2025/2026","","850","","4240",""
"911379","3755294","05/08/2025","","מנוי לעונת 2025/2026","","650","","4240",""
"","3755296","05/08/2025","05/08/2025","CustomPayment","70000","","79991","",""
"911367","3755296","05/08/2025","","מנוי לעונת 2025/2026","","5000","","4240",""
"911372","3755296","05/08/2025","","מנוי לעונת 2025/2026","","1050","","4240",""
"911368","3755296","05/08/2025","","מנוי לעונת 2025/2026","","5000","","4240",""
"911370","3755296","05/08/2025","","מנוי לעונת 2025/2026","","5000","","4240",""
"911371","3755296","05/08/2025","","מנוי לעונת 2025/2026","","1050","","4240",""
"911369","3755296","05/08/2025","","מנוי לעונת 2025/2026","","5000","","4240",""
"70882","3755296","05/08/2025","","פרסום: לד עליון 25/26","","11975","","4118",""
"70881","3755296","05/08/2025","","פרסום: לד תחתון 25/26","","11975","","4118",""
"70883","3755296","05/08/2025","","פרסום: מסך לד בסיס סל 25/26","","11975","","4118",""
"70880","3755296","05/08/2025","","פרסום: שקופית ג'מבו 25/26","","11975","","4118",""
"","3755300","05/08/2025","05/08/2025","CustomPayment","2880","","79991","",""
"911383","3755300","05/08/2025","","מנוי לעונת 2025/2026","","1240","","4240",""
"911382","3755300","05/08/2025","","מנוי לעונת 2025/2026","","1640","","4240",""
"","3755306","05/08/2025","05/08/2025","Credit card","3280","","70100","",""
"911396","3755306","05/08/2025","","מנוי לעונת 2025/2026","","1640","","4240",""
"911397","3755306","05/08/2025","","מנוי לעונת 2025/2026","","1640","","4240",""
"","3755307","05/08/2025","05/08/2025","Credit card","3600","","70100","",""
"911401","3755307","05/08/2025","","מנוי לעונת 2025/2026","","1550","","4240",""
"911400","3755307","05/08/2025","","מנוי לעונת 2025/2026","","2050","","4240",""
"","3755313","05/08/2025","05/08/2025","Credit card","1640","","70100","",""
"911405","3755313","05/08/2025","","מנוי לעונת 2025/2026","","1640","","4240",""
"","3755314","05/08/2025","05/08/2025","Credit card","900","","70100","",""
"911406","3755314","05/08/2025","","מנוי לעונת 2025/2026","","900","","4240",""
"","3755315","05/08/2025","05/08/2025","Credit card","900","","70100","",""
"911407","3755315","05/08/2025","","מנוי לעונת 2025/2026","","900","","4240",""
"","3755322","05/08/2025","05/08/2025","Credit card","450","","70100","",""
"911412","3755322","05/08/2025","","מנוי לעונת 2025/2026","","450","","4240",""
"239131","3755322","05/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755323","05/08/2025","05/08/2025","Credit card","150","","70100","",""
"239133","3755323","05/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"911414","3755323","05/08/2025","","מנוי לעונת 2025/2026","","150","","4240",""
"","3755324","05/08/2025","05/08/2025","Cash","0","","70001","",""
"911415","3755324","05/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"239135","3755324","05/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755325","05/08/2025","05/08/2025","Cash","0","","70001","",""
"911419","3755325","05/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"239137","3755325","05/08/2025","","מנוי לעונת 2025/2026","","0","","4240",""
"","3755329","05/08/2025","05/08/2025","Credit card","450","","70100","",""
"911420","3755329","05/08/2025","","מנוי לעונת 2025/2026","","450","","4240",""
